FID,xcnt,ycnt
0,150.341988056,157.527789466
1,149.842731836,157.921658785
2,149.886883007,157.522819016
3,149.456713626,157.402594248
4,149.025634376,157.285932961
5,148.837918849,157.719889874
6,166.50779277,168.881925691
7,148.015140002,166.563440851
8,165.710499779,172.195397356
9,146.335983698,188.324698763
10,144.68590445,187.405746013
11,144.749528505,192.106710569
12,143.137888958,153.26616429
13,143.308181343,153.700843296
14,144.186473709,154.042431417
15,143.37049219,153.325282343
16,140.881856695,157.539969973
17,139.798730296,159.079297175
18,141.055155734,160.223632903
19,142.064021427,160.300286425
20,141.506522787,159.105326589
21,142.838065367,160.608705655
22,149.297857741,157.757140022
23,149.21822206,157.33968573
24,149.537338825,157.717456245
25,148.401062304,155.748315453
26,148.595866964,155.412863448
27,149.809234791,156.389482043
28,148.569279657,156.377796178
29,142.119473925,151.905986243
30,141.75642916,151.581678979
31,140.790443719,151.675757875
32,141.294635896,152.314851734
33,141.394123874,151.777884132
34,148.916552419,155.868282268
35,149.454284965,156.970357549
36,149.354573911,156.444023581
37,149.216738781,156.890223062
38,149.167570342,156.54820527
39,149.156459603,156.134669986
40,149.657056175,156.727161276
41,150.490353747,157.264359877
42,150.366100906,178.443316102
43,151.040941645,178.43671606
44,151.964768433,174.859164837
45,149.928604271,173.907289812
46,150.107215788,157.030981671
47,150.434742637,156.599094577
48,150.144686837,156.674874794
49,150.701653025,155.909336318
50,151.109251275,157.450335511
51,151.032574786,157.001894705
52,151.091377835,156.411598998
53,161.187220238,173.672865147
54,138.680927209,150.071760433
55,137.523377939,150.045318546
56,137.361850502,150.201824701
57,158.136096673,171.221410289
58,159.81668721,171.265826448
59,160.858969206,172.052218753
60,161.811899774,175.463655476
61,159.436474555,174.362731431
62,161.570556291,171.263415812
63,163.191380206,162.616628367
64,163.183223198,162.360493184
65,160.579266476,167.112892918
66,160.249461577,166.336745502
67,162.591743225,165.970376952
68,148.911213894,183.618303754
69,148.638527039,182.135668109
70,150.06551248,156.022734764
71,149.392166314,155.984526648
72,148.937155657,154.162413811
73,148.614331346,154.646398099
74,149.757189288,168.912596589
75,148.997183221,170.524140586
76,148.083622388,171.90996895
77,150.317920511,171.882716774
78,152.996331146,170.429085926
79,152.207937578,172.491924386
80,145.029041276,172.032361428
81,144.618666372,171.534390271
82,145.088038775,173.716393052
83,146.272720367,171.86639391
84,146.953616443,170.555925845
85,145.24360067,159.831185937
86,145.731822411,160.297808882
87,145.962340446,159.431588782
88,145.640917042,159.052747525
89,146.416199289,159.547208086
90,144.273145368,160.822849579
91,149.298080558,182.66990364
92,152.33379067,181.635084503
93,151.271424848,183.489863563
94,150.180432727,183.420237925
95,144.308124357,156.079188486
96,144.371454786,155.594987728
97,143.957255107,155.534717376
98,143.923081616,154.579622217
99,144.460135621,154.771879123
100,144.628666828,181.754073801
101,144.165285893,162.148778621
102,144.661075909,158.826962031
103,147.192446025,159.771828575
104,146.156497233,163.156383252
105,146.666655301,160.923379216
106,145.579359113,162.604580261
107,143.685793872,182.93937151
108,143.499790514,181.680627152
109,151.218894989,180.409159921
110,150.353122192,180.456970944
111,149.639070204,180.905687685
112,147.352971289,177.43119957
113,143.938071718,154.95807422
114,143.461967704,154.8895769
115,143.12634439,154.660986677
116,143.058194773,155.262837082
117,142.78855645,154.159070064
118,144.017400889,180.892772032
119,144.914098695,184.457879651
120,144.708362846,182.69274042
121,147.112089556,182.167447014
122,146.35960682,183.469175148
123,145.593921252,181.280755712
124,147.100246219,185.41364716
125,147.648724625,183.005457429
126,153.594844385,179.403435456
127,156.860463209,179.752395213
128,154.764862021,180.807138947
129,152.894782593,178.091731736
130,153.272011148,176.866330453
